code,description,id,image_url,level,level_id,name,rank,scraped_at
generic-value-for-money,Get great value without compromise,76,uploads/features-and-benefits/Generic-Value-For-Money.png,class,1,Value For Money,1,2025-07-01T17:34:56.371112
generic-water-sustainable-choice,Make the switch to sustainable appliances and reduce your water usage. ,77,uploads/features-and-benefits/Generic-Water-Sustainable-Choice.png,class,1,Sustainable Choice,2,2025-07-01T17:34:56.371147
generic-energy-sustainable-choice,Make the switch to sustainable appliances and reduce your energy use,78,uploads/features-and-benefits/Generic-Energy-Sustainable-Choice.png,class,1,Sustainable Choice,3,2025-07-01T17:34:56.371149
generic-warranty-1-year,Enjoy peace of mind with a 12 month limited manufacturers warranty,79,uploads/features-and-benefits/Generic-Warranty-1-Year.png,class,1,Peace of Mind,4,2025-07-01T17:34:56.371151
generic-warranty-2-year,Enjoy peace of mind with a 24 month limited manufacturers warranty,80,uploads/features-and-benefits/Generic-Warranty-2-Year.png,class,1,Peace of Mind,5,2025-07-01T17:34:56.371152
generic-warranty-3-year,Enjoy peace of mind with a 3 year limited manufacturers warranty,81,uploads/features-and-benefits/Generic-Warranty-3-Year.png,class,1,Peace of Mind,6,2025-07-01T17:34:56.371154
generic-warranty-5-year,Enjoy peace of mind with a 5 year limited manufacturers warranty,82,uploads/features-and-benefits/Generic-Warranty-5-Year.png,class,1,Peace of Mind,7,2025-07-01T17:34:56.371155
generic-built-in-australia,Proudly built in Australia,83,uploads/features-and-benefits/Generic-Built-In-Australia.png,class,1,Built in Australia,8,2025-07-01T17:34:56.371156
generic-capacity-couples,Steamline your lifestyle with appliances perfect for small households,84,uploads/features-and-benefits/Generic-Capacity-Couples.png,class,1,Suitable for Couples,9,2025-07-01T17:34:56.371158
generic-capacity-small-family,Streamline your lifestyle with appliances designed for small families,85,uploads/features-and-benefits/Generic-Capacity-Small-Family.png,class,1,Suitable for Small Families,10,2025-07-01T17:34:56.371159
generic-capacity-medium-family,Streamline your lifestyle with appliances designed for busy families,86,uploads/features-and-benefits/Generic-Capacity-Medium-Family.png,class,1,Suitable for Medium Sized Families,11,2025-07-01T17:34:56.371161
generic-capacity-large-family,Streamline your lifestyle with appliances perfect for big families,87,uploads/features-and-benefits/Generic-Capacity-Large-Family.png,class,1,Suitable for Larger Families,12,2025-07-01T17:34:56.371162
generic-wifi,Ready to connect with your home Wi-Fi,88,uploads/features-and-benefits/Wifi.png,class,1,Built-in Wi-Fi,13,2025-07-01T17:34:56.371164
generic-value-for-money,Get great value without compromise,89,uploads/features-and-benefits/Generic-Value-For-Money.png,class,2,Value For Money,1,2025-07-01T17:34:57.167337
generic-water-sustainable-choice,Make the switch to sustainable appliances and reduce your water usage. ,90,uploads/features-and-benefits/Generic-Water-Sustainable-Choice.png,class,2,Sustainable Choice,2,2025-07-01T17:34:57.167370
generic-energy-sustainable-choice,Make the switch to sustainable appliances and reduce your energy use,91,uploads/features-and-benefits/Generic-Energy-Sustainable-Choice.png,class,2,Sustainable Choice,3,2025-07-01T17:34:57.167373
generic-warranty-1-year,Enjoy peace of mind with a 12 month limited manufacturers warranty,92,uploads/features-and-benefits/Generic-Warranty-1-Year.png,class,2,Peace of Mind,4,2025-07-01T17:34:57.167376
generic-warranty-2-year,Enjoy peace of mind with a 24 month limited manufacturers warranty,93,uploads/features-and-benefits/Generic-Warranty-2-Year.png,class,2,Peace of Mind,5,2025-07-01T17:34:57.167378
generic-warranty-3-year,Enjoy peace of mind with a 3 year limited manufacturers warranty,94,uploads/features-and-benefits/Generic-Warranty-3-Year.png,class,2,Peace of Mind,6,2025-07-01T17:34:57.167380
generic-warranty-5-year,Enjoy peace of mind with a 5 year limited manufacturers warranty,95,uploads/features-and-benefits/Generic-Warranty-5-Year.png,class,2,Peace of Mind,7,2025-07-01T17:34:57.167383
generic-built-in-australia,Proudly built in Australia,96,uploads/features-and-benefits/Generic-Built-In-Australia.png,class,2,Built in Australia,8,2025-07-01T17:34:57.167385
generic-capacity-couples,Steamline your lifestyle with appliances perfect for small households,97,uploads/features-and-benefits/Generic-Capacity-Couples.png,class,2,Suitable for Couples,9,2025-07-01T17:34:57.167388
generic-capacity-small-family,Streamline your lifestyle with appliances designed for small families,98,uploads/features-and-benefits/Generic-Capacity-Small-Family.png,class,2,Suitable for Small Families,10,2025-07-01T17:34:57.167389
generic-capacity-medium-family,Streamline your lifestyle with appliances designed for busy families,99,uploads/features-and-benefits/Generic-Capacity-Medium-Family.png,class,2,Suitable for Medium Sized Families,11,2025-07-01T17:34:57.167391
generic-capacity-large-family,Streamline your lifestyle with appliances perfect for big families,100,uploads/features-and-benefits/Generic-Capacity-Large-Family.png,class,2,Suitable for Larger Families,12,2025-07-01T17:34:57.167393
generic-wifi,Ready to connect with your home Wi-Fi,101,uploads/features-and-benefits/Wifi.png,class,2,Built-in Wi-Fi,13,2025-07-01T17:34:57.167395
generic-value-for-money,Get great value without compromise,102,uploads/features-and-benefits/Generic-Value-For-Money.png,class,4,Value For Money,1,2025-07-01T17:34:58.777325
generic-water-sustainable-choice,Make the switch to sustainable appliances and reduce your water usage. ,103,uploads/features-and-benefits/Generic-Water-Sustainable-Choice.png,class,4,Sustainable Choice,2,2025-07-01T17:34:58.777342
generic-energy-sustainable-choice,Make the switch to sustainable appliances and reduce your energy use,104,uploads/features-and-benefits/Generic-Energy-Sustainable-Choice.png,class,4,Sustainable Choice,3,2025-07-01T17:34:58.777344
generic-warranty-1-year,Enjoy peace of mind with a 12 month limited manufacturers warranty,105,uploads/features-and-benefits/Generic-Warranty-1-Year.png,class,4,Peace of Mind,4,2025-07-01T17:34:58.777346
generic-warranty-2-year,Enjoy peace of mind with a 24 month limited manufacturers warranty,106,uploads/features-and-benefits/Generic-Warranty-2-Year.png,class,4,Peace of Mind,5,2025-07-01T17:34:58.777348
generic-warranty-3-year,Enjoy peace of mind with a 3 year limited manufacturers warranty,107,uploads/features-and-benefits/Generic-Warranty-3-Year.png,class,4,Peace of Mind,6,2025-07-01T17:34:58.777349
generic-warranty-5-year,Enjoy peace of mind with a 5 year limited manufacturers warranty,108,uploads/features-and-benefits/Generic-Warranty-5-Year.png,class,4,Peace of Mind,7,2025-07-01T17:34:58.777351
generic-built-in-australia,Proudly built in Australia,109,uploads/features-and-benefits/Generic-Built-In-Australia.png,class,4,Built in Australia,8,2025-07-01T17:34:58.777353
generic-capacity-couples,Steamline your lifestyle with appliances perfect for small households,110,uploads/features-and-benefits/Generic-Capacity-Couples.png,class,4,Suitable for Couples,9,2025-07-01T17:34:58.777355
generic-capacity-small-family,Streamline your lifestyle with appliances designed for small families,111,uploads/features-and-benefits/Generic-Capacity-Small-Family.png,class,4,Suitable for Small Families,10,2025-07-01T17:34:58.777356
generic-capacity-medium-family,Streamline your lifestyle with appliances designed for busy families,112,uploads/features-and-benefits/Generic-Capacity-Medium-Family.png,class,4,Suitable for Medium Sized Families,11,2025-07-01T17:34:58.777358
generic-capacity-large-family,Streamline your lifestyle with appliances perfect for big families,113,uploads/features-and-benefits/Generic-Capacity-Large-Family.png,class,4,Suitable for Larger Families,12,2025-07-01T17:34:58.777359
generic-wifi,Ready to connect with your home Wi-Fi,114,uploads/features-and-benefits/Wifi.png,class,4,Built-in Wi-Fi,13,2025-07-01T17:34:58.777361
generic-value-for-money,Get great value without compromise,115,uploads/features-and-benefits/Generic-Value-For-Money.png,class,5,Value For Money,1,2025-07-01T17:34:59.587799
generic-water-sustainable-choice,Make the switch to sustainable appliances and reduce your water usage. ,116,uploads/features-and-benefits/Generic-Water-Sustainable-Choice.png,class,5,Sustainable Choice,2,2025-07-01T17:34:59.587814
generic-energy-sustainable-choice,Make the switch to sustainable appliances and reduce your energy use,117,uploads/features-and-benefits/Generic-Energy-Sustainable-Choice.png,class,5,Sustainable Choice,3,2025-07-01T17:34:59.587816
generic-warranty-1-year,Enjoy peace of mind with a 12 month limited manufacturers warranty,118,uploads/features-and-benefits/Generic-Warranty-1-Year.png,class,5,Peace of Mind,4,2025-07-01T17:34:59.587818
generic-warranty-2-year,Enjoy peace of mind with a 24 month limited manufacturers warranty,119,uploads/features-and-benefits/Generic-Warranty-2-Year.png,class,5,Peace of Mind,5,2025-07-01T17:34:59.587819
generic-warranty-3-year,Enjoy peace of mind with a 3 year limited manufacturers warranty,120,uploads/features-and-benefits/Generic-Warranty-3-Year.png,class,5,Peace of Mind,6,2025-07-01T17:34:59.587820
generic-warranty-5-year,Enjoy peace of mind with a 5 year limited manufacturers warranty,121,uploads/features-and-benefits/Generic-Warranty-5-Year.png,class,5,Peace of Mind,7,2025-07-01T17:34:59.587822
generic-built-in-australia,Proudly built in Australia,122,uploads/features-and-benefits/Generic-Built-In-Australia.png,class,5,Built in Australia,8,2025-07-01T17:34:59.587823
generic-capacity-couples,Steamline your lifestyle with appliances perfect for small households,123,uploads/features-and-benefits/Generic-Capacity-Couples.png,class,5,Suitable for Couples,9,2025-07-01T17:34:59.587825
generic-capacity-small-family,Streamline your lifestyle with appliances designed for small families,124,uploads/features-and-benefits/Generic-Capacity-Small-Family.png,class,5,Suitable for Small Families,10,2025-07-01T17:34:59.587826
generic-capacity-medium-family,Streamline your lifestyle with appliances designed for busy families,125,uploads/features-and-benefits/Generic-Capacity-Medium-Family.png,class,5,Suitable for Medium Sized Families,11,2025-07-01T17:34:59.587828
generic-capacity-large-family,Streamline your lifestyle with appliances perfect for big families,126,uploads/features-and-benefits/Generic-Capacity-Large-Family.png,class,5,Suitable for Larger Families,12,2025-07-01T17:34:59.587829
generic-wifi,Ready to connect with your home Wi-Fi,127,uploads/features-and-benefits/Wifi.png,class,5,Built-in Wi-Fi,13,2025-07-01T17:34:59.587830
generic-value-for-money,Get great value without compromise,128,uploads/features-and-benefits/Generic-Value-For-Money.png,class,6,Value For Money,1,2025-07-01T17:35:00.394942
generic-water-sustainable-choice,Make the switch to sustainable appliances and reduce your water usage. ,129,uploads/features-and-benefits/Generic-Water-Sustainable-Choice.png,class,6,Sustainable Choice,2,2025-07-01T17:35:00.394955
generic-energy-sustainable-choice,Make the switch to sustainable appliances and reduce your energy use,130,uploads/features-and-benefits/Generic-Energy-Sustainable-Choice.png,class,6,Sustainable Choice,3,2025-07-01T17:35:00.394956
generic-warranty-1-year,Enjoy peace of mind with a 12 month limited manufacturers warranty,131,uploads/features-and-benefits/Generic-Warranty-1-Year.png,class,6,Peace of Mind,4,2025-07-01T17:35:00.394957
generic-warranty-2-year,Enjoy peace of mind with a 24 month limited manufacturers warranty,132,uploads/features-and-benefits/Generic-Warranty-2-Year.png,class,6,Peace of Mind,5,2025-07-01T17:35:00.394958
generic-warranty-3-year,Enjoy peace of mind with a 3 year limited manufacturers warranty,133,uploads/features-and-benefits/Generic-Warranty-3-Year.png,class,6,Peace of Mind,6,2025-07-01T17:35:00.394960
generic-warranty-5-year,Enjoy peace of mind with a 5 year limited manufacturers warranty,134,uploads/features-and-benefits/Generic-Warranty-5-Year.png,class,6,Peace of Mind,7,2025-07-01T17:35:00.394961
generic-built-in-australia,Proudly built in Australia,135,uploads/features-and-benefits/Generic-Built-In-Australia.png,class,6,Built in Australia,8,2025-07-01T17:35:00.394962
generic-capacity-couples,Steamline your lifestyle with appliances perfect for small households,136,uploads/features-and-benefits/Generic-Capacity-Couples.png,class,6,Suitable for Couples,9,2025-07-01T17:35:00.394963
generic-capacity-small-family,Streamline your lifestyle with appliances designed for small families,137,uploads/features-and-benefits/Generic-Capacity-Small-Family.png,class,6,Suitable for Small Families,10,2025-07-01T17:35:00.394964
generic-capacity-medium-family,Streamline your lifestyle with appliances designed for busy families,138,uploads/features-and-benefits/Generic-Capacity-Medium-Family.png,class,6,Suitable for Medium Sized Families,11,2025-07-01T17:35:00.394965
generic-capacity-large-family,Streamline your lifestyle with appliances perfect for big families,139,uploads/features-and-benefits/Generic-Capacity-Large-Family.png,class,6,Suitable for Larger Families,12,2025-07-01T17:35:00.394966
generic-wifi,Ready to connect with your home Wi-Fi,140,uploads/features-and-benefits/Wifi.png,class,6,Built-in Wi-Fi,13,2025-07-01T17:35:00.394967
generic-value-for-money,Get great value without compromise,141,uploads/features-and-benefits/Generic-Value-For-Money.png,class,7,Value For Money,1,2025-07-01T17:35:01.204688
generic-water-sustainable-choice,Make the switch to sustainable appliances and reduce your water usage. ,142,uploads/features-and-benefits/Generic-Water-Sustainable-Choice.png,class,7,Sustainable Choice,2,2025-07-01T17:35:01.204717
generic-energy-sustainable-choice,Make the switch to sustainable appliances and reduce your energy use,143,uploads/features-and-benefits/Generic-Energy-Sustainable-Choice.png,class,7,Sustainable Choice,3,2025-07-01T17:35:01.204720
generic-warranty-1-year,Enjoy peace of mind with a 12 month limited manufacturers warranty,144,uploads/features-and-benefits/Generic-Warranty-1-Year.png,class,7,Peace of Mind,4,2025-07-01T17:35:01.204724
generic-warranty-2-year,Enjoy peace of mind with a 24 month limited manufacturers warranty,145,uploads/features-and-benefits/Generic-Warranty-2-Year.png,class,7,Peace of Mind,5,2025-07-01T17:35:01.204731
generic-warranty-3-year,Enjoy peace of mind with a 3 year limited manufacturers warranty,146,uploads/features-and-benefits/Generic-Warranty-3-Year.png,class,7,Peace of Mind,6,2025-07-01T17:35:01.204735
generic-warranty-5-year,Enjoy peace of mind with a 5 year limited manufacturers warranty,147,uploads/features-and-benefits/Generic-Warranty-5-Year.png,class,7,Peace of Mind,7,2025-07-01T17:35:01.204738
generic-built-in-australia,Proudly built in Australia,148,uploads/features-and-benefits/Generic-Built-In-Australia.png,class,7,Built in Australia,8,2025-07-01T17:35:01.204741
generic-capacity-couples,Steamline your lifestyle with appliances perfect for small households,149,uploads/features-and-benefits/Generic-Capacity-Couples.png,class,7,Suitable for Couples,9,2025-07-01T17:35:01.204745
generic-capacity-small-family,Streamline your lifestyle with appliances designed for small families,150,uploads/features-and-benefits/Generic-Capacity-Small-Family.png,class,7,Suitable for Small Families,10,2025-07-01T17:35:01.204748
generic-capacity-medium-family,Streamline your lifestyle with appliances designed for busy families,151,uploads/features-and-benefits/Generic-Capacity-Medium-Family.png,class,7,Suitable for Medium Sized Families,11,2025-07-01T17:35:01.204751
generic-capacity-large-family,Streamline your lifestyle with appliances perfect for big families,152,uploads/features-and-benefits/Generic-Capacity-Large-Family.png,class,7,Suitable for Larger Families,12,2025-07-01T17:35:01.204755
generic-wifi,Ready to connect with your home Wi-Fi,153,uploads/features-and-benefits/Wifi.png,class,7,Built-in Wi-Fi,13,2025-07-01T17:35:01.204764
dish-cutlery,Seperate your cutlery onto a rack to improve cleaning,154,uploads/features-and-benefits/Dish-Cutlery.png,class,7,Cutlery Rack,14,2025-07-01T17:35:01.204767
dish-door-open,Improves the drying cycle by opening the door at the end of the cycle,155,uploads/features-and-benefits/Dish-Door-Open.png,class,7,Door Open,15,2025-07-01T17:35:01.204770
dish-integrated,Install you own cabinetry panel to give you a seamless design in your new kitchen,156,uploads/features-and-benefits/Dish-Integrated.png,class,7,Inergrated,16,2025-07-01T17:35:01.204773
generic-value-for-money,Get great value without compromise,157,uploads/features-and-benefits/Generic-Value-For-Money.png,class,8,Value For Money,1,2025-07-01T17:35:02.016003
generic-water-sustainable-choice,Make the switch to sustainable appliances and reduce your water usage. ,158,uploads/features-and-benefits/Generic-Water-Sustainable-Choice.png,class,8,Sustainable Choice,2,2025-07-01T17:35:02.016022
generic-energy-sustainable-choice,Make the switch to sustainable appliances and reduce your energy use,159,uploads/features-and-benefits/Generic-Energy-Sustainable-Choice.png,class,8,Sustainable Choice,3,2025-07-01T17:35:02.016024
generic-warranty-1-year,Enjoy peace of mind with a 12 month limited manufacturers warranty,160,uploads/features-and-benefits/Generic-Warranty-1-Year.png,class,8,Peace of Mind,4,2025-07-01T17:35:02.016025
generic-warranty-2-year,Enjoy peace of mind with a 24 month limited manufacturers warranty,161,uploads/features-and-benefits/Generic-Warranty-2-Year.png,class,8,Peace of Mind,5,2025-07-01T17:35:02.016027
generic-warranty-3-year,Enjoy peace of mind with a 3 year limited manufacturers warranty,162,uploads/features-and-benefits/Generic-Warranty-3-Year.png,class,8,Peace of Mind,6,2025-07-01T17:35:02.016028
generic-warranty-5-year,Enjoy peace of mind with a 5 year limited manufacturers warranty,163,uploads/features-and-benefits/Generic-Warranty-5-Year.png,class,8,Peace of Mind,7,2025-07-01T17:35:02.016029
generic-built-in-australia,Proudly built in Australia,164,uploads/features-and-benefits/Generic-Built-In-Australia.png,class,8,Built in Australia,8,2025-07-01T17:35:02.016031
generic-capacity-couples,Steamline your lifestyle with appliances perfect for small households,165,uploads/features-and-benefits/Generic-Capacity-Couples.png,class,8,Suitable for Couples,9,2025-07-01T17:35:02.016033
generic-capacity-small-family,Streamline your lifestyle with appliances designed for small families,166,uploads/features-and-benefits/Generic-Capacity-Small-Family.png,class,8,Suitable for Small Families,10,2025-07-01T17:35:02.016034
generic-capacity-medium-family,Streamline your lifestyle with appliances designed for busy families,167,uploads/features-and-benefits/Generic-Capacity-Medium-Family.png,class,8,Suitable for Medium Sized Families,11,2025-07-01T17:35:02.016035
generic-capacity-large-family,Streamline your lifestyle with appliances perfect for big families,168,uploads/features-and-benefits/Generic-Capacity-Large-Family.png,class,8,Suitable for Larger Families,12,2025-07-01T17:35:02.016037
generic-wifi,Ready to connect with your home Wi-Fi,169,uploads/features-and-benefits/Wifi.png,class,8,Built-in Wi-Fi,13,2025-07-01T17:35:02.016041
floorcare-multi-surface,Designed for sealed hardfloors & carpets.,170,uploads/features-and-benefits/Floorcare-Multi-Surface.png,class,8,Multi-surface Cleaning,14,2025-07-01T17:35:02.016043
floorcare-wet-and-dry,Tackle basic vacuuming duties to liquid spills & accidents.,171,uploads/features-and-benefits/Floorcare-Wet-and-Dry.png,class,8,Wet & Dry Cleaning,15,2025-07-01T17:35:02.016044
floorcare-self-emptying,Automatically empties the onboard dust bin into a larger collection bin in the docking station.,172,uploads/features-and-benefits/Floorcare-Self-Emptying.png,class,8,Self Emptying,16,2025-07-01T17:35:02.016046
floorcare-bagless,Just empty the dustbin and carry on cleaning.,173,uploads/features-and-benefits/Floorcare-Bagless.png,class,8,Bagless,17,2025-07-01T17:35:02.016047
floorcare-bagged,"Traps & contains the dust, dirt & debris in a sealed bag for easy disposal.",174,uploads/features-and-benefits/Floorcare-Bagged.png,class,8,Bagged,18,2025-07-01T17:35:02.016049
generic-value-for-money,Get great value without compromise,175,uploads/features-and-benefits/Generic-Value-For-Money.png,class,9,Value For Money,1,2025-07-01T17:35:02.846217
generic-water-sustainable-choice,Make the switch to sustainable appliances and reduce your water usage. ,176,uploads/features-and-benefits/Generic-Water-Sustainable-Choice.png,class,9,Sustainable Choice,2,2025-07-01T17:35:02.846240
generic-energy-sustainable-choice,Make the switch to sustainable appliances and reduce your energy use,177,uploads/features-and-benefits/Generic-Energy-Sustainable-Choice.png,class,9,Sustainable Choice,3,2025-07-01T17:35:02.846242
generic-warranty-1-year,Enjoy peace of mind with a 12 month limited manufacturers warranty,178,uploads/features-and-benefits/Generic-Warranty-1-Year.png,class,9,Peace of Mind,4,2025-07-01T17:35:02.846244
generic-warranty-2-year,Enjoy peace of mind with a 24 month limited manufacturers warranty,179,uploads/features-and-benefits/Generic-Warranty-2-Year.png,class,9,Peace of Mind,5,2025-07-01T17:35:02.846245
generic-warranty-3-year,Enjoy peace of mind with a 3 year limited manufacturers warranty,180,uploads/features-and-benefits/Generic-Warranty-3-Year.png,class,9,Peace of Mind,6,2025-07-01T17:35:02.846247
generic-warranty-5-year,Enjoy peace of mind with a 5 year limited manufacturers warranty,181,uploads/features-and-benefits/Generic-Warranty-5-Year.png,class,9,Peace of Mind,7,2025-07-01T17:35:02.846249
generic-built-in-australia,Proudly built in Australia,182,uploads/features-and-benefits/Generic-Built-In-Australia.png,class,9,Built in Australia,8,2025-07-01T17:35:02.846250
generic-capacity-couples,Steamline your lifestyle with appliances perfect for small households,183,uploads/features-and-benefits/Generic-Capacity-Couples.png,class,9,Suitable for Couples,9,2025-07-01T17:35:02.846252
generic-capacity-small-family,Streamline your lifestyle with appliances designed for small families,184,uploads/features-and-benefits/Generic-Capacity-Small-Family.png,class,9,Suitable for Small Families,10,2025-07-01T17:35:02.846253
generic-capacity-medium-family,Streamline your lifestyle with appliances designed for busy families,185,uploads/features-and-benefits/Generic-Capacity-Medium-Family.png,class,9,Suitable for Medium Sized Families,11,2025-07-01T17:35:02.846262
generic-capacity-large-family,Streamline your lifestyle with appliances perfect for big families,186,uploads/features-and-benefits/Generic-Capacity-Large-Family.png,class,9,Suitable for Larger Families,12,2025-07-01T17:35:02.846263
generic-wifi,Ready to connect with your home Wi-Fi,187,uploads/features-and-benefits/Wifi.png,class,9,Built-in Wi-Fi,13,2025-07-01T17:35:02.846265
ref-flexi,Allows your to choose what level of cooling you need for this zone. ,188,uploads/features-and-benefits/Ref-Flexi.png,class,9,Flexible Zone,14,2025-07-01T17:35:02.846267
ref-french,"Two large doors on top with a freezer drawer, letting you easily store larger items",190,uploads/features-and-benefits/Ref-French.png,class,9,French Door,15,2025-07-01T17:35:02.846268
ref-ice,Automatically makes and dispenses ice and a has handy water dispenser,191,uploads/features-and-benefits/Ref-Ice.png,class,9,Ice & Water,16,2025-07-01T17:35:02.846270
ref-flat,Modern Sleek design to compliment your kitchen,192,uploads/features-and-benefits/Ref-Flat.png,class,9,Flat Door Design,17,2025-07-01T17:35:02.846271
ref-hybrid,Can be used as a Fridge or a Freezer based on your needs,193,uploads/features-and-benefits/Ref-Hybrid.png,class,9,Hybrid,18,2025-07-01T17:35:02.846273
ref-wifi,Ready to connect with your home Wi-Fi,194,uploads/features-and-benefits/Ref-Wifi.png,class,9,Built-in Wi-Fi,19,2025-07-01T17:35:02.846275
